# source	GeoNames (https://www.geonames.org) — CC BY 4.0
# généré par	scripts/build-chad-geography.mjs
# colonnes	kind puis champs propres au niveau — voir docs/chad-geography-sources.md
P	01	Batha	إقليم البطحة	2435899
P	02	Wadi Fira	إقليم وادي فيرا	244877
P	05	Guéra	إقليم قيرا	2431555
P	06	Kanem	منطقة كانم	2430873
P	07	Lac	إقليم البحيرة	2429323
P	08	Logone Occidental	إقليم لوقون الغربي	2429060
P	09	Logone Oriental	إقليم لوقون الشرقي	2429058
P	12	Ouadaï	إقليم واداي	242246
P	13	Salamat	إقليم سلامات	242048
P	14	Tandjilé	إقليم تانجيلي	2425287
P	15	Chari-Baguirmi	شاري باقرمي	2434478
P	16	Mayo-Kebbi Est	إقليم مايو كيبي الشرقي	2428132
P	17	Moyen-Chari	إقليم شاري الأوسط	2427315
P	18	Hadjer-Lamis	ولاية حجر لميس	7603251
P	19	Mandoul	ولاية ماندول	7603252
P	20	Mayo-Kebbi Ouest	إقليم مايو كيبي الغربي	7603253
P	21	N’Djaména	انجمينا	7603254
P	22	Barh el Gazel	ولاية بحر الغزال	7603255
D	12186856	28	Fada	فدا	12186856
D	12186857	28	Mourtcha	مُرتشا	12186857
D	12186858	28	Lac-Ounianga	بحيرة أونيانغا	12186858
D	12186860	28	Tebi	تيبي	12186860
D	12186861	28	Torbol	توربول	12186861
L	241464	01		Zoumbat		LOCALITY	13.59494	20.00648	
L	241465	12		Zouma Tamsigin		LOCALITY	14.0409	20.3326	
L	241466	12		Zouma Asab Momo		LOCALITY	14.02788	20.2305	
L	241468	02		Zona		LOCALITY	14.46672	21.42951	
L	241471	02		Ziziep		LOCALITY	14.83887	21.2728	
L	241472	01		Zéli		LOCALITY	13.30119	20.03091	
L	241473	12		Zanapté		LOCALITY	13.05114	20.62464	
L	241478	12		Zafai		LOCALITY	12.68333	21.16667	
L	241482	12		Yomadjamal		LOCALITY	13.48734	20.74493	
L	241489	02		Yaouada		LOCALITY	14.8426	21.21659	
L	241490	02		Yaouada		LOCALITY	14.65715	21.13989	
L	241492	12		Yara		LOCALITY	13.31089	21.07753	
L	241493	02		Yar		LOCALITY	14.64266	21.38074	
L	241494	12		Yanga		LOCALITY	13.80338	21.21805	
L	241496	12		Yakata		LOCALITY	13.33538	22.24487	
L	241497	12		Wourkolok		LOCALITY	13.52185	21.37063	
L	241498	02		Wouni-Wouni		LOCALITY	15.25	21.68333	
L	241499	12		Worlo		LOCALITY	13.61434	21.44283	
L	241500	13		Wok		LOCALITY	11.43702	20.7084	
L	241502	12		Wéwèrta		LOCALITY	13.388	22.24422	
L	241504	02		Ouaya-Ouaya		LOCALITY	14.91065	21.66022	
L	241505	02		Waya		LOCALITY	14.58333	22.1	
L	241508	02		Warkey		LOCALITY	15.1	22.5	
L	241511	25		Warga		LOCALITY	12.68333	20.86667	
L	241513	02		Ouabéné		LOCALITY	14.82352	21.07661	
L	241516	02		Troké		LOCALITY	14.54505	21.98985	
L	241517	02		Troa Toua		LOCALITY	14.96636	21.98761	
L	241518	12		Troan		LOCALITY	13.77739	21.53322	
L	241519	02		Troa Kitilé		LOCALITY	14.87934	21.70938	
L	241520	02		Troa Kébir		LOCALITY	14.88727	21.81642	
L	241521	25		Tréhe Sérir		LOCALITY	12.56667	22.13333	
L	241522	25		Tréhé Kébir		LOCALITY	12.61667	20.2	
L	241527	12		Toutoula		LOCALITY	13.50954	21.16426	
L	241528	12		Toutoubo		LOCALITY	13.07292	20.81605	
L	241529	01		Toutouba		LOCALITY	13.6203	20.10184	
L	241530	25		Toustousou		LOCALITY	11.52893	22.33788	
L	241535	12		Touroko		LOCALITY	14.03061	21.7543	
L	241536	25		Tourmounon		LOCALITY	12.66667	21.81667	
L	241537	02		Tourmoundi		LOCALITY	14.17827	21.38203	
L	241541	02		Tourka		LOCALITY	14.88115	21.3555	
L	241542	02		Tourguéssi		LOCALITY	14.9	21.1	
L	241543	12		Tourègn		LOCALITY	13.88533	21.75198	
L	241546	02		Touré		LOCALITY	14.63933	21.69906	
L	241549	25		Touran		LOCALITY	12.78333	20.63333	
L	241553	12		Touniougour		LOCALITY	13.65566	20.89094	
L	241554	25		Toundousa		LOCALITY	12.75	21.75	
L	241555	25		Toundousa		LOCALITY	12.46667	22.36667	
L	241557	02		Touna		LOCALITY	14.44817	21.10121	
L	241558	12		Toumtouma		LOCALITY	13.71091	22.01088	
L	241559	12		Touminil		LOCALITY	12.93333	21.06667	
L	241562	12		Toukoul Toukouli		LOCALITY	13.31281	22.22772	
L	241563	12		Toukoulombay		LOCALITY	14.20944	20.91717	
L	241564	12		Toukoui		LOCALITY	13.42474	22.0405	
L	241565	02		Touil		LOCALITY	14.49793	20.47289	
L	241566	25		Touhanga		LOCALITY	12	22.21667	
L	241574	02		Toubo		LOCALITY	14.73105	21.798	
L	241575	13		Touar		LOCALITY	11.2305	20.2052	
L	241578	25		Touahah		LOCALITY	12.26667	22.18333	
L	241580	25		Totogoz		LOCALITY	12.53333	22.16667	
L	241581	02		Torou		LOCALITY	14.33333	21.23333	
L	241585	13		Tordona		LOCALITY	11.2776	20.5516	
L	241589	02		Torbossoulé		LOCALITY	14.75361	21.82817	
L	241590	12		Torbok		LOCALITY	13.50817	21.33323	
L	241591	12		Torbikin		LOCALITY	14.04039	20.93217	
L	241594	02		Tongoz Tat		LOCALITY	14.08333	22.43333	
L	241595	12		Tongori		LOCALITY	13.46043	22.04473	
L	241598	12		Tondou		LOCALITY	13.79859	20.89462	
L	241599	12		Tondong Kado		LOCALITY	13.22639	22.04773	
L	241600	12		Tondong		LOCALITY	13.26062	22.00415	
L	241601	12		Tondjon		LOCALITY	13.54017	21.50183	
L	241603	25		Tonbola		LOCALITY	12.46667	22.01667	
L	241604	02		Toumbouloum		LOCALITY	14.67928	21.07604	
L	241609	02		Tologon		LOCALITY	15.03333	21.91667	
L	241613	02		Tolbok		LOCALITY	14.25841	21.81721	
L	241614	12		Tolando		LOCALITY	14.12725	20.62818	
L	241619	12		Tokon		LOCALITY	13.94266	21.32206	
L	241620	12		Tokolon		LOCALITY	13.92743	21.33031	
L	241623	02		Togrobé		LOCALITY	15.06667	21.6	
